,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分母,FGM分子,FGM/A*,FTM分母,FTM分子,FTM/A*,3PTM_y,3PTA*
0,142.0,Little Whale,6,121.5,33,.495,.833,2.090909090909091,0.401,16.696969696969695,0.9090909090909091,5.121212121212121,3.4242424242424243,0.9696969696969697,0.6363636363636364,2.0606060606060606,2.242424242424242,0.12121212121212122,206,416,206/416,70,84,70/84,69,172
1,125.0,透抽,3,128.0,40,.473,.809,1.675,0.39399999999999996,17.35,1.3,4.5,3.325,0.875,0.525,2.025,2.6,0.175,250,529,250/529,127,157,127/157,67,170
2,124.5,Sea Weed,4,124.0,39,.490,.794,1.4102564102564104,0.359,14.923076923076923,1.205128205128205,4.0,3.948717948717949,0.9487179487179487,0.7435897435897436,1.8717948717948718,2.230769230769231,0.20512820512820512,221,451,221/451,85,107,85/107,55,153
3,124.5,JS Shrimp,13,100.0,29,.483,.712*,1.2758620689655173,0.37,15.89655172413793,2.0344827586206895,5.517241379310345,3.5172413793103448,0.896551724137931,0.5517241379310345,2.4482758620689653,2.2413793103448274,0.3103448275862069,160,331,160/331,104,146,104/146,37,100
4,122.0,Sea Horse,1,134.0,42,.454,.776,1.8333333333333333,0.391,16.857142857142858,1.4047619047619047,4.761904761904762,3.357142857142857,0.8809523809523809,0.40476190476190477,2.1666666666666665,1.9761904761904763,0.16666666666666666,260,573,260/573,111,143,111/143,77,197
5,121.5,螃蟹,8,118.0,37,.475,.741,1.4864864864864864,0.36700000000000005,16.16216216216216,1.5135135135135136,6.081081081081081,4.297297297297297,0.972972972972973,0.4594594594594595,2.3513513513513513,2.72972972972973,0.40540540540540543,220,463,220/463,103,139,103/139,55,150
6,120.5,Mermaid,2,129.0,43,.481,.855,1.5813953488372092,0.364,15.744186046511627,1.069767441860465,3.86046511627907,3.0232558139534884,1.0,0.9302325581395349,1.8837209302325582,2.116279069767442,0.06976744186046512,234,486,234/486,141,165,141/165,68,187
7,114.0,Sea Urchin,5,122.5,44,.518,.740,0.7954545454545454,0.402,13.613636363636363,1.3181818181818181,4.454545454545454,3.5,0.9545454545454546,1.0,2.159090909090909,2.6363636363636362,0.09090909090909091,215,415,215/415,134,181,134/181,35,87
8,113.5,STaNo. 1水嫩嫩鮭魚生魚片,9,113.5,39,.467,.712*,1.641025641025641,0.36200000000000004,17.23076923076923,1.2307692307692308,5.128205128205129,3.076923076923077,1.1025641025641026,0.46153846153846156,1.8974358974358974,2.4358974358974357,0.23076923076923078,246,527,246/527,116,163,116/163,64,177
9,109.5,Oysters,7,119.5,43,.446,.869,2.4186046511627906,0.38799999999999996,15.255813953488373,0.7441860465116279,4.1395348837209305,3.395348837209302,0.9534883720930233,0.5348837209302325,1.9767441860465116,2.3255813953488373,0.06976744186046512,233,522,233/522,86,99,86/99,104,268
10,109.5,Sea Cucumber,12,103.5,39,.472*,.779,1.6923076923076923,0.36700000000000005,16.897435897435898,1.1794871794871795,4.3076923076923075,4.0,0.8717948717948718,0.48717948717948717,2.3076923076923075,2.717948717948718,0.20512820512820512,240,508,240/508,113,145,113/145,66,180
11,106.0,Sponge,11,107.5,41,.450,.798,1.6341463414634145,0.337,15.658536585365853,1.0975609756097562,4.7560975609756095,3.024390243902439,1.2195121951219512,0.6341463414634146,2.3658536585365852,2.2195121951219514,0.1951219512195122,240,533,240/533,95,119,95/119,67,199
12,98.0,Shark,14,83.5,36,.468,.811,1.1944444444444444,0.355,13.777777777777779,1.3055555555555556,3.6666666666666665,3.611111111111111,1.4166666666666667,0.4722222222222222,1.6388888888888888,2.9166666666666665,0.027777777777777776,188,402,188/402,77,95,77/95,43,121
13,96.0,鯉魚王,10,113.0,46,.444,.760,1.5217391304347827,0.34299999999999997,12.391304347826088,1.2608695652173914,4.130434782608695,2.9782608695652173,1.173913043478261,0.7391304347826086,1.7826086956521738,2.282608695652174,0.13043478260869565,204,459,204/459,92,121,92/121,70,204
14,77.5,吻仔魚去頭去尾留中段,15,76.5,40,.472*,.755,0.8,0.294,12.525,1.25,3.325,2.2,0.625,0.65,1.2,2.0,0.05,182,386,182/386,105,139,105/139,32,109
15,64.0,翻車魚皮,16,74.0,41,.439,.777,1.8048780487804879,0.368,12.902439024390244,0.7317073170731707,3.2439024390243905,2.317073170731707,0.8048780487804879,0.4634146341463415,1.9268292682926829,2.341463414634146,0.04878048780487805,184,419,184/419,87,112,87/112,74,201
