,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,142.0,Sea Horse,1,143.0,338,.480,0.792,1.893491124260355,.377,17.79585798816568,1.2781065088757397,5.088757396449704,3.4289940828402368,0.9467455621301775,0.6094674556213018,1.9467455621301775,2.0680473372781063,0.16568047337278108,2285,4760,2285/4760,805,1016,805/1016,640,1696
2,129.5,Sea Urchin,4,128.0,338,.503,0.774,0.9023668639053254,.386*,13.8698224852071,1.5384615384615385,4.514792899408284,3.9763313609467454,0.9526627218934911,0.6538461538461539,1.893491124260355,2.2514792899408285,0.1804733727810651,1740,3459,1740/3459,903,1167,903/1167,305,790
3,128.5,JS Shrimp,2,129.5,329,.476,0.784,1.8662613981762919,.386*,16.534954407294833,1.3799392097264438,4.659574468085107,3.60790273556231,0.8115501519756839,0.60790273556231,1.917933130699088,2.282674772036474,0.23100303951367782,1966,4128,1966/4128,894,1140,894/1140,614,1591
4,128.5,Sponge,3,129.0,332,.474*,0.787,1.9036144578313252,.390,15.737951807228916,0.9879518072289156,4.795180722891566,3.2289156626506026,0.8825301204819277,0.7530120481927711,1.891566265060241,2.180722891566265,0.14759036144578314,1878,3958,1878/3958,837,1064,837/1064,632,1622
5,127.0,Shark,7,122.5,319,.489,0.809,1.3887147335423198,.363,16.41692789968652,1.213166144200627,4.438871473354232,4.0344827586206895,1.0407523510971788,0.6363636363636364,1.8150470219435737,2.316614420062696,0.15047021943573669,1936,3959,1936/3959,922,1140,922/1140,443,1220
6,124.0,Little Whale,5,125.0,330,.475,0.8170000000000001,1.7393939393939395,.384,15.087878787878788,1.1606060606060606,4.409090909090909,3.0242424242424244,0.9181818181818182,0.7878787878787878,1.5303030303030303,2.084848484848485,0.09696969696969697,1802,3794,1802/3794,801,980,801/980,574,1493
7,120.0,Sea Weed,9,117.0,320,.481,0.789,1.328125,.359,15.275,1.3625,4.25,3.946875,1.175,0.7125,1.89375,2.39375,0.1875,1879,3905,1879/3905,705,894,705/894,425,1184
8,114.0,Oysters,8,118.0,318,.463,0.8370000000000001,2.349056603773585,.391,16.37735849056604,1.0377358490566038,4.465408805031447,3.9339622641509435,0.9150943396226415,0.4339622641509434,1.940251572327044,2.242138364779874,0.13836477987421383,1888,4079,1888/4079,685,818,685/818,747,1910
9,110.0,螃蟹,10,106.0,335,.465,0.778,1.68955223880597,.375,15.280597014925373,1.4686567164179105,4.907462686567164,3.5074626865671643,0.8626865671641791,0.408955223880597,1.8925373134328358,2.3402985074626868,0.2626865671641791,1900,4088,1900/4088,753,968,753/968,566,1510
10,109.5,STaNo. 1水嫩嫩鮭魚生魚片,6,124.5,362,.474*,0.762,1.643646408839779,.372,16.679558011049725,1.281767955801105,4.745856353591161,3.6298342541436464,0.930939226519337,0.5607734806629834,2.0110497237569063,2.3232044198895028,0.1712707182320442,2194,4627,2194/4627,1055,1385,1055/1385,595,1600
11,104.0,翻車魚丸,10,106.0,343,.469,0.758,1.728862973760933,.381,15.139941690962099,1.2536443148688046,4.521865889212828,2.58600583090379,0.8309037900874635,0.6151603498542274,1.6034985422740524,2.2011661807580176,0.1661807580174927,1923,4101,1923/4101,754,995,754/995,593,1557
12,91.0,Mermaid,12,96.0,335,.468,0.835,1.3701492537313433,.345,14.471641791044776,1.4238805970149253,4.164179104477612,3.1223880597014926,0.817910447761194,0.7582089552238805,1.7940298507462686,2.4208955223880597,0.14925373134328357,1717,3666,1717/3666,955,1144,955/1144,459,1331
13,90.0,透抽,15,77.5,315,.470,0.7829999999999999,1.596825396825397,.370,16.615873015873017,0.9968253968253968,4.222222222222222,3.638095238095238,0.8285714285714286,0.6349206349206349,2.0507936507936506,2.2095238095238097,0.1492063492063492,1859,3956,1859/3956,1013,1293,1013/1293,503,1358
14,89.5,鯉魚王,13,95.0,337,.453,0.7959999999999999,1.8456973293768546,.369*,13.786350148367953,1.225519287833828,4.163204747774481,3.059347181008902,1.086053412462908,0.6498516320474778,1.6053412462908012,2.4124629080118694,0.12462908011869436,1644,3632,1644/3632,736,925,736/925,622,1684
15,80.5,Sea Cucumber,14,78.0,329,.467,0.764,1.6778115501519757,.369*,15.462006079027356,1.0668693009118542,4.583586626139818,3.498480243161094,0.8024316109422492,0.5167173252279635,2.0790273556231003,2.234042553191489,0.1762917933130699,1852,3969,1852/3969,831,1088,831/1088,552,1494
16,80.0,吻仔魚去頭去尾留中段,16,73.0,297,.484,0.785,1.2222222222222223,.333,14.373737373737374,1.0808080808080809,3.8282828282828283,2.8754208754208754,0.7373737373737373,0.6902356902356902,1.67003367003367,1.9124579124579124,0.12121212121212122,1565,3232,1565/3232,776,988,776/988,363,1089
